Sample	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_duplicates	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_gc	FastQC (raw)_mqc-generalstats-fastqc_raw-avg_sequence_length	FastQC (raw)_mqc-generalstats-fastqc_raw-median_sequence_length	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_fails	FastQC (raw)_mqc-generalstats-fastqc_raw-total_sequences	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	Bowtie2 (target)_mqc-generalstats-bowtie2_target-overall_alignment_rate	Picard duplication stats: Mark Duplicates_mqc-generalstats-picard_duplication_stats_mark_duplicates-PERCENT_DUPLICATION	Samtools alignment scores_mqc-generalstats-samtools_alignment_scores-error_rate	Samtools alignment scores_mqc-generalstats-samtools_alignment_scores-non_primary_alignments	Samtools alignment scores_mqc-generalstats-samtools_alignment_scores-reads_mapped	Samtools alignment scores_mqc-generalstats-samtools_alignment_scores-reads_mapped_percent	Samtools alignment scores_mqc-generalstats-samtools_alignment_scores-reads_properly_paired_percent	Samtools alignment scores_mqc-generalstats-samtools_alignment_scores-reads_MQ0_percent	Samtools alignment scores_mqc-generalstats-samtools_alignment_scores-raw_total_sequences	Samtools alignment scores_mqc-generalstats-samtools_alignment_scores-flagstat_total	Samtools alignment scores_mqc-generalstats-samtools_alignment_scores-mapped_passed	Samtools alignment scores_mqc-generalstats-samtools_alignment_scores-mapped_passed_pct	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_duplicates	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_gc	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-avg_sequence_length	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-median_sequence_length	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_fails	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-total_sequences
H3K27_N_R4_1																				16.167020140294824	46.0	49.458680009412184	50	18.181818181818183	12392452.0
H3K27_N_R4_2																				15.676475697088136	46.0	49.453441498099004	50	18.181818181818183	12392452.0
H3K4_A_R1	20.40903668779599	48.0	50.0	50	18.181818181818183	9810628.0	1.253833699534831	89.65	0.113762																
H3K4_A_R1_1																				18.61734201849103	47.0	49.47257666633256	50	18.181818181818183	9557846.0
H3K4_A_R1_2																				18.055547060822207	47.0	49.46748441019033	50	18.181818181818183	9557846.0
H3K4_A_R2	16.85323088829996	46.0	50.0	50	9.090909090909092	8493563.0	2.9376239394468495	93.91	0.111532																
H3K4_A_R2_1																				14.942843095046157	46.0	49.46765520135437	50	18.181818181818183	8330984.0
H3K4_A_R2_2																				14.617715155145646	46.0	49.46124695474148	50	18.181818181818183	8330984.0
H3K4_A_R3	16.820544322990997	46.0	50.0	50	18.181818181818183	12485907.0	2.4480252816235137	93.48	0.114056																
H3K4_A_R3_1																				15.884569042326305	46.0	49.46880565225417	50	18.181818181818183	12308576.0
H3K4_A_R3_2																				15.368909199525675	46.0	49.46135336857814	50	18.181818181818183	12308576.0
H3K4_A_R4	19.104138527308407	45.0	50.0	50	18.181818181818183	9046349.0	2.447482846394717	91.06	0.115199																
H3K4_A_R4_1																				17.622312484407516	45.0	49.46951059312745	50	18.181818181818183	8917999.0
H3K4_A_R4_2																				17.10980494811855	45.0	49.46401496568905	50	18.181818181818183	8917999.0
H3K4_N_R1	31.669057103883517	50.0	50.0	50	27.27272727272727	8386592.0	7.263239466042941	77.22	0.094987																
H3K4_N_R1_1																				27.7054102546241	47.0	49.47333690348079	50	18.181818181818183	7857752.0
H3K4_N_R1_2																				26.949355074558838	48.0	49.4728345969687	50	18.181818181818183	7857752.0
H3K4_N_R2	21.86008396110816	47.0	50.0	50	9.090909090909092	8965953.0	1.2528075933478573	88.21	0.112217																
H3K4_N_R2_1																				20.058586958129695	47.0	49.47037017551853	50	18.181818181818183	8800609.0
H3K4_N_R2_2																				19.60027997376234	47.0	49.465399837670326	50	18.181818181818183	8800609.0
H3K4_N_R3	26.553560760524974	48.0	50.0	50	18.181818181818183	11120999.0	1.233282189846434	82.77	0.112082																
H3K4_N_R3_1																				25.151197975532725	47.0	49.47809964833612	50	18.181818181818183	10843593.0
H3K4_N_R3_2																				24.40411054625855	48.0	49.47416054807664	50	18.181818181818183	10843593.0
H3K4_N_R4	20.955464176263533	46.0	50.0	50	9.090909090909092	6675010.0	2.890159565304022	88.4	0.105742																
H3K4_N_R4_1																				19.139157159164583	46.0	49.4667859717823	50	18.181818181818183	6550711.0
H3K4_N_R4_2																				18.521427550875316	46.0	49.46261634805749	50	18.181818181818183	6550711.0
IgG_A_R1	23.752952513397233	47.0	50.0	50	18.181818181818183	46126494.0	1.483557280551173	23.82	0.138687	0.001719313	0.0	15545708.0	100.0	100.0	0.0	15545708.0	15545708	15545708	100.0						
IgG_A_R1_1																				23.20258607526476	47.0	49.45814431986041	50	18.181818181818183	45935438.0
IgG_A_R1_2																				23.195459090588017	47.0	49.45598413582124	50	18.181818181818183	45935438.0
IgG_N_R1	33.93446455853626	45.0	50.0	50	9.090909090909092	46381098.0	1.1701381023795512	83.61	0.137594	0.001396817	0.0	53577272.0	100.0	100.0	0.0	53577272.0	53577272	53577272	100.0						
IgG_N_R1_1																				32.50559266150559	45.0	49.48627327996735	50	18.181818181818183	45588713.0
IgG_N_R1_2																				31.758749891162125	45.0	49.481690237669135	50	36.36363636363637	45588713.0
nH3K27_A_R1	22.75371664123456	44.0	50.0	50	9.090909090909092	14624713.0	1.8509088007402266	89.9	0.123617																
nH3K27_A_R1_1																				22.644766107738945	44.0	49.41826373839328	50	18.181818181818183	14521003.0
nH3K27_A_R1_2																				21.893408853212748	44.0	49.41028054329305	50	18.181818181818183	14521003.0
nH3K27_A_R2	21.350196025060214	43.0	50.0	50	9.090909090909092	14451466.0	1.7887306381234955	91.83	0.128085																
nH3K27_A_R2_1																				21.171438945948765	43.0	49.4118637065049	50	18.181818181818183	14359981.0
nH3K27_A_R2_2																				20.526527732050212	43.0	49.40402476855645	50	18.181818181818183	14359981.0
nH3K27_A_R3	22.0233905432774	43.0	50.0	50	9.090909090909092	13016024.0	1.3147649389706104	91.33	0.132133																
nH3K27_A_R3_1																				21.649208433926205	43.0	49.410465147230695	50	18.181818181818183	12923392.0
nH3K27_A_R3_2																				21.193909926105263	43.0	49.40369525276336	50	18.181818181818183	12923392.0
nH3K27_N_R1	47.15493466707736	46.0	50.0	50	18.181818181818183	11983447.0	1.8567836115935592	61.11	0.136647																
nH3K27_N_R1_1																				46.31023667704215	46.0	49.49116479672337	50	18.181818181818183	11880485.0
nH3K27_N_R1_2																				45.16490952067256	46.0	49.48756898392616	50	18.181818181818183	11880485.0
nH3K27_N_R2	43.57618735960161	45.0	50.0	50	18.181818181818183	13094668.0	1.8194747663705564	65.52	0.158933																
nH3K27_N_R2_1																				43.88117992952475	45.0	49.47986368658384	50	18.181818181818183	12990064.0
nH3K27_N_R2_2																				42.75933292141277	45.0	49.47533176125999	50	18.181818181818183	12990064.0
nH3K27_N_R3	44.8630467685981	45.0	50.0	50	18.181818181818183	15271757.0	1.2084731311531476	65.57	0.170807																
nH3K27_N_R3_1																				43.96960651043167	45.0	49.477371940129785	50	18.181818181818183	15130462.0
nH3K27_N_R3_2																				43.11156764999019	45.0	49.47402656971082	50	18.181818181818183	15130462.0
nH3K4_A_R1	21.12604562709926	43.0	50.0	50	9.090909090909092	15185929.0	1.2823191784974102	94.29	0.135971																
nH3K4_A_R1_1																				20.171624399414924	43.0	49.40727565174088	50	18.181818181818183	15066609.0
nH3K4_A_R1_2																				19.632440522296804	43.0	49.40055867912946	50	18.181818181818183	15066609.0
nH3K4_A_R2	19.466777787213104	42.0	50.0	50	9.090909090909092	13388816.0	1.9655298870340738	96.44	0.145128																
nH3K4_A_R2_1																				18.475432722719873	42.0	49.40189957423025	50	18.181818181818183	13282766.0
nH3K4_A_R2_2																				17.98122329593275	42.0	49.395499551825274	50	18.181818181818183	13282766.0
nH3K4_A_R3	18.074390804920796	42.0	50.0	50	9.090909090909092	10840501.0	1.6844645833250695	96.98	0.141243																
nH3K4_A_R3_1																				17.90015281924812	42.0	49.40747960691802	50	18.181818181818183	10784417.0
nH3K4_A_R3_2																				17.33203779593387	42.0	49.401435701160295	50	18.181818181818183	10784417.0
nH3K4_N_R1	45.12528280072099	46.0	50.0	50	27.27272727272727	14729818.0	2.5553101878108744	63.04	0.157246																
nH3K4_N_R1_1																				44.972628969410536	46.0	49.48778466612409	50	18.181818181818183	14500013.0
nH3K4_N_R1_2																				43.93658140456649	46.0	49.483961566103424	50	18.181818181818183	14500013.0
nH3K4_N_R2	43.651452242134305	45.0	50.0	50	18.181818181818183	15522683.0	1.1189221605569089	66.29	0.151324																
nH3K4_N_R2_1																				42.74914861202728	46.0	49.48101346879293	50	18.181818181818183	15382299.0
nH3K4_N_R2_2																				41.76569088504941	46.0	49.477105340365576	50	18.181818181818183	15382299.0
nH3K4_N_R3	41.03005681394644	45.0	50.0	50	18.181818181818183	14931976.0	1.9029095680303798	67.75	0.152848																
nH3K4_N_R3_1																				41.021295135166255	45.0	49.47739998269008	50	18.181818181818183	14800763.0
nH3K4_N_R3_2																				40.151418630663606	45.0	49.47310459602657	50	18.181818181818183	14800763.0
nIgG_A_R1	25.510311915492366	43.0	50.0	50	9.090909090909092	30607068.0	1.2450911011796362	91.15	0.136177	0.001384672	0.0	38822042.0	100.0	100.0	0.0	38822042.0	38822042	38822042	100.0						
nIgG_A_R1_1																				25.296272890546675	43.0	49.41410978629573	50	18.181818181818183	30381424.0
nIgG_A_R1_2																				24.637072273604304	43.0	49.4070738093119	50	18.181818181818183	30381424.0
nIgG_N_R1	50.809361046794294	46.0	50.0	50	27.27272727272727	26005047.0	1.0833971574825456	59.13	0.154775	0.001345888	0.0	20180262.0	100.0	100.0	0.0	20180262.0	20180262	20180262	100.0						
nIgG_N_R1_1																				49.928768051928884	46.0	49.49869636248847	50	18.181818181818183	25738750.0
nIgG_N_R1_2																				49.051597285901764	46.0	49.49782355397989	50	36.36363636363637	25738750.0
